A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,   ,eee,L, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,22719419.31,0.0,0.0,0.0,0.0,0.0,22719419.31,0.0,0.0,0.0,22719419.31
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-442863769.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-442863769.3
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,141440.7,0.0,0.0,0.0,0.0,0.0,141440.7,0.0,0.0,0.0,141440.7
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-3217122.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3217122.95
G,S,   ,eee,L, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-445939451.6,0.0,0.0,0.0,0.0,0.0,141440.7,0.0,0.0,0.0,-445939451.6
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,81068276.12,0.0,0.0,0.0,0.0,0.0,81068276.12,0.0,0.0,0.0,81068276.12
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,16407.78,0.0,0.0,0.0,0.0,0.0,16407.78,0.0,0.0,0.0,16407.78
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,233964.1,0.0,0.0,0.0,0.0,0.0,233964.1,0.0,0.0,0.0,233964.1
G,S,   ,eee,L, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,81318648.0,0.0,0.0,0.0,0.0,0.0,81318648.0,0.0,0.0,0.0,81318648.0
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-13139957.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13139957.92
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-20545.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20545.86
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-1975.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1975.89
G,S,   ,eee,L, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-13162479.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13162479.67
G,S,   ,eee,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,5266.13,0.0,0.0,0.0,0.0,0.0,5266.13,0.0,0.0,0.0,5266.13
G,S,   ,eee,T, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,5266.13,0.0,0.0,0.0,0.0,0.0,5266.13,0.0,0.0,0.0,5266.13
G,S,   ,eee,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-693.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-693.86
G,S,   ,eee,T, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-693.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-693.86
M,S,   ,eee,B,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-724056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-724056.0
M,S,   ,eee,B,C, ,1,49, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-804262.68,0.0,0.0,0.0,0.0,-12755647.19,0.0,265415.0,241286.0,265415.0,-1090868.68
M,S,   ,eee,B,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-32254091.72,0.0,0.0,0.0,0.0,0.0,0.0,28835642.0,26214220.0,28835642.0,-70678533.72
M,S,   ,eee,B,H, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-97.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-97.6
M,S,   ,eee,B,H, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,190.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,190.0
